url,out-degree,size,compressed-sized,status_code,crawled
https://namnak.com,53,38.14,1.631,200,True
/namnak.com/c1-اخبار,20,29.085,1.338,200,True
k.com/c6-فرهنگ-و-هنر,20,28.01,1.327,200,True
namnak.com/c4-سرگرمی,21,28.601,1.35,200,True
nak.com/c3-سبک-زندگی,14,28.985,1.354,200,True
//namnak.com/c2-ورزش,23,28.781,1.345,200,True
nak.com/c80-دنیای-مد,21,28.639,1.339,200,True
om/c5-بهداشت-و-سلامت,18,28.915,1.386,200,True
m/c92-آشپزخانه-نمناک,24,28.853,1.399,200,True
.com/c100-دین-و-مذهب,20,27.949,1.391,200,True
nak.com/c70-تکنولوژی,22,28.301,1.399,200,True
nique-success.p78042,11,37.199,1.908,200,True
کرونا-در-ایران.p1720,12,32.293,1.816,200,True
.com/لیگ-برتر.p26381,9,29.802,1.783,200,True
om/بارش-باران.p57358,10,30.668,1.763,200,True
/تعطیلی-تهران.p57350,9,33.152,1.824,200,True
شگاه-پرسپولیس.p57349,9,33.83,1.846,200,True
وتی-های-کرونا.p57344,4,38.072,1.934,200,True
om/ava-daroit.p78186,15,36.109,1.887,200,True
mehdi-koushki.p78183,14,34.546,1.91,200,True
Bayat-serials.p78181,29,38.29,1.917,200,True
amreza-Takhti.p78178,15,36.156,1.935,200,True
m/پرورش-گل-رز.p74523,14,47.671,2.18,200,True
om/ترس-زایمان.p58187,19,44.187,2.139,200,True
بیه-تر-از-قبل.p44859,10,34.716,1.884,200,True
-کردن-با-دوست.p52008,15,45.013,2.132,200,True
ود-نشانه-چیست.p48365,13,39.731,2.053,200,True
اب-شغل-اشتباه.p68180,11,48.877,2.193,200,True
m/بهترین-همسر.p61708,13,44.243,2.12,200,True
با-همسر-لجباز.p23933,9,40.639,2.021,200,True
-woman-to-man.p39271,11,42.132,2.097,200,True
com/تعریف-عشق.p73700,11,38.92,1.963,200,True
دمنوش-بلک-بری.p73231,33,51.001,2.301,200,True
وغن-فلفل-سیاه.p54253,39,51.995,2.343,200,True
/خواص-کلم-بنفش.p6755,31,55.297,2.427,200,True
وراکی-الزامیه.p29473,24,46.665,2.202,200,True
خستگی-آدرنال-.p51074,24,51.747,2.37,200,True
/دلایل-پا-درد.p61138,14,40.921,2.06,200,True
نگ-کردن-ابرو-.p54817,12,38.786,2.003,200,True
